Vegetable,Nitrogen (N),Phosphorus (P),Potassium (K),Rainfall (mm),pH,Temperature,Humidity
Chinese cabbage,178,147,161,209.307377,5.639613,19.002067,65.183196
Zucchini,166,137,155,229.793648,5.51688,22.476123,67.999468
Beans,144,125,144,203.10564,6.762305,18.057918,69.688122
Broccoli,189,120,189,211.721098,6.361836,19.299702,64.787781
Cauliflower,188,140,173,192.878083,6.778754,18.044583,66.010506
Zucchini,180,134,169,235.900525,6.323185,21.190276,63.707847
Eggplant,147,111,142,202.650675,6.270196,22.823905,63.009007
Radishes,122,82,120,156.372307,6.633741,23.868949,66.497622
Chinese cabbage,170,144,161,199.106328,6.06268,20.191228,69.409204
Kale,156,106,133,210.302261,6.536356,16.210231,69.699373
Cucumbers,161,129,141,203.868231,6.9125,25.270818,67.03015
Spinach,147,130,172,201.489349,6.370883,17.336576,69.855873
Cabbage,209,161,219,189.314032,7.305875,18.831497,74.486114
Peas,141,109,140,191.455934,5.780778,19.968915,64.259657
Cucumbers,150,133,144,207.366581,6.789923,25.823534,60.62758
Zucchini,178,133,158,234.374463,6.763117,21.193708,61.508323
Cucumbers,153,135,152,208.133041,5.842402,22.239075,66.926974
Cauliflower,188,142,177,195.328622,6.09367,19.587177,67.262947
Carrots,136,97,109,186.389873,6.613046,17.324458,77.338277
Broccoli,200,131,184,209.857549,5.719914,19.076888,62.889536
Mustard greens,150,103,122,184.627608,5.805576,21.462368,68.620069
Radishes,118,98,108,161.825707,6.529008,19.855511,60.65187
Spinach,152,138,170,209.604646,5.700031,15.195099,68.158795
Chinese cabbage,179,137,167,204.708519,6.488489,22.33225,64.631283
Bok choy,154,122,148,174.166621,6.071215,22.818535,61.676521
Cabbage,206,155,218,187.203056,6.08362,17.527917,79.44013
Brussels sprouts,180,168,185,210.074618,5.901993,17.790722,61.002654
Celery,139,100,144,169.03443,6.567371,15.839044,77.578355
Brussels sprouts,189,167,195,214.026456,6.645733,16.646907,64.216987
Spinach,149,126,180,200.722654,6.144788,18.779766,67.309926
Tomatoes,165,150,195,221.203621,5.578707,24.452488,67.51106
Carrots,135,101,110,178.638089,7.12688,18.471245,74.837604
Zucchini,163,130,163,239.628161,6.631247,20.664987,63.7832
Bell peppers,145,108,160,182.534746,6.799216,22.752032,63.466058
Bell peppers,150,114,151,182.268391,6.331643,21.188856,69.436186
Carrots,138,109,101,174.707879,6.206134,17.317424,78.21786
Cabbage,216,159,204,196.989618,7.468161,19.080236,75.068248
Brussels sprouts,199,168,198,226.03129,5.971564,15.814035,62.509953
Zucchini,174,144,166,224.927712,6.781737,25.878074,64.58164
Chinese cabbage,180,137,173,190.583647,6.378812,18.131231,65.123454
Mustard greens,149,110,131,197.199004,6.325892,21.841484,63.890339
Lettuce,172,106,151,211.360464,6.819315,23.913154,67.0357
Bell peppers,132,109,150,182.830644,5.56846,20.045769,60.648543
Carrots,139,104,104,184.136301,6.503701,15.403193,72.045072
Cauliflower,182,149,162,200.546227,6.737714,19.605944,64.619962
Brussels sprouts,183,167,197,213.797879,5.98197,18.358414,67.472936
Bok choy,169,133,151,181.495753,6.490033,21.482976,63.766878
Cauliflower,187,149,174,204.753778,5.560169,19.1922,68.810306
Lettuce,159,119,164,213.438938,5.78207,18.699094,66.560808
Carrots,136,107,117,181.333144,6.285379,15.814283,75.290474
Zucchini,166,140,157,230.711015,6.701583,24.705031,60.640385
Peas,135,104,127,180.609691,5.780463,19.237887,67.307507
Cucumbers,162,123,151,216.869818,5.723844,20.634976,68.13623
Mustard greens,143,96,136,192.010003,6.055113,21.299049,66.76359
Spinach,152,134,175,203.410175,5.663375,15.135152,60.359781
Zucchini,178,139,163,231.132725,5.648729,21.855516,63.604546
Bok choy,153,133,147,183.507932,6.37277,19.427433,64.388778
Tomatoes,174,140,198,225.586697,5.985727,25.00136,66.076508
Radishes,125,80,117,158.103667,6.728619,18.711086,66.945023
Tomatoes,160,141,189,223.70592,6.325275,21.124888,63.578552
Beans,152,117,139,209.094356,7.268608,20.24711,67.11652
Brussels sprouts,187,163,196,229.225687,6.187371,19.254043,66.145954
Peas,130,100,131,188.287766,6.270354,16.304236,65.66516
Cauliflower,177,130,176,191.972576,6.205816,20.562879,68.277858
Mustard greens,131,92,128,195.379253,5.959128,23.796899,63.80642
Cabbage,202,159,219,196.245775,6.837021,15.69087,79.331977
Mustard greens,143,96,122,189.947481,6.970603,23.220835,66.105008
Cauliflower,173,146,177,204.394755,6.430187,20.443952,65.297328
Brussels sprouts,189,161,196,219.573926,6.367495,19.930192,69.952246
Kale,143,104,132,203.40398,5.913144,15.151279,65.522679
Kale,142,115,148,212.452348,6.775397,19.835721,60.749528
Cauliflower,183,143,160,209.670548,6.824119,22.168961,68.292526
Celery,131,104,140,179.52961,6.661314,15.916237,74.711937
Carrots,127,97,100,184.18491,6.579927,19.909553,78.261476
Radishes,121,97,119,165.361708,5.884832,20.254895,66.261716
Chinese cabbage,178,141,174,192.12862,6.613445,22.698541,61.018252
Zucchini,176,140,167,233.533891,5.657724,23.186176,68.577764
Brussels sprouts,188,166,189,214.910746,6.357534,19.010207,66.512478
Cabbage,219,157,216,180.886688,7.170001,17.888695,71.335776
Cucumbers,157,133,159,201.218966,6.983531,21.562128,62.346777
Bell peppers,141,117,165,180.610422,5.605089,22.605967,67.543858
Chinese cabbage,190,150,169,206.153419,5.688692,20.296702,68.992092
Broccoli,196,124,195,208.960807,6.490324,21.904884,60.620772
Brussels sprouts,192,169,197,216.579552,6.878893,18.605099,67.64761
Bell peppers,141,109,162,189.065564,5.603673,21.925057,69.820622
Lettuce,169,108,173,210.557553,6.342574,22.133503,66.540035
Broccoli,186,138,193,208.613501,6.046933,22.864105,67.001874
Peas,138,102,135,192.607105,6.225384,19.785366,67.477307
Beans,157,125,148,209.181319,7.252786,22.623196,69.376427
Celery,137,108,149,176.792137,6.936825,15.195838,72.322858
Cabbage,212,157,220,184.919284,6.630781,18.756499,72.224794
Celery,139,119,143,170.01357,6.316559,15.261181,77.394998
Kale,159,118,145,206.267813,6.151965,15.423329,60.707893
Celery,124,110,146,175.182405,6.704644,17.401471,74.182688
Celery,137,103,135,166.120726,7.171162,16.298018,76.057336
Eggplant,140,124,140,212.814364,6.152271,20.951827,64.393038
Cauliflower,182,132,163,199.529605,6.876934,22.202378,69.628132
Cucumbers,167,124,147,204.916897,6.335335,25.196701,63.759165
Mustard greens,146,93,121,185.257132,6.026861,23.353781,68.10322
Brussels sprouts,184,153,196,210.466932,6.805017,16.725379,62.86644
Celery,138,116,149,172.644621,7.166314,16.95901,71.188776
Lettuce,162,101,155,204.371874,6.559,22.418342,65.166115
Spinach,155,134,169,205.987354,5.611148,17.368276,65.073677
Radishes,126,100,120,155.049745,6.432708,23.198806,69.209845
Cauliflower,172,133,178,197.492014,5.671971,19.762936,67.051377
Celery,130,117,144,174.345902,6.964738,17.834297,72.646254
Broccoli,193,135,199,214.817049,6.236417,19.086902,67.005103
Chinese cabbage,178,130,162,201.447225,6.886641,23.24745,62.722572
Lettuce,158,103,175,218.270707,5.500687,19.969439,61.402586
Kale,151,115,130,203.660189,5.762601,16.469081,60.38445
Cauliflower,180,146,162,200.063582,6.237485,20.32412,67.514812
Cauliflower,185,132,161,198.862974,6.285671,21.866806,64.883709
Celery,127,107,132,169.170351,6.548792,18.18544,74.273712
Beans,153,110,145,216.077419,7.477313,23.613877,68.037301
Lettuce,178,114,160,205.051455,6.205213,23.185053,61.789726
Peas,147,111,137,196.682004,6.081506,18.834774,68.243366
Cabbage,207,154,203,182.696192,6.021072,17.452704,70.496564
Kale,152,116,130,201.424961,5.535254,18.315021,67.802308
Bok choy,162,127,149,180.134656,6.680188,22.751318,69.590312
Tomatoes,176,147,187,232.816537,6.364668,24.839342,65.895353
Chinese cabbage,184,149,168,203.581662,5.872475,18.05578,63.159788
Peas,139,116,129,198.486392,6.155144,19.755566,65.459386
Brussels sprouts,185,153,195,222.999032,5.682881,16.876499,60.19912
Brussels sprouts,180,165,181,227.867092,6.282806,18.880628,68.423095
Broccoli,193,120,200,203.283204,6.726736,22.036805,62.263115
Broccoli,191,130,183,219.640799,6.18799,20.784054,69.782145
Bell peppers,145,102,169,199.142733,5.881739,22.439429,65.817286
Peas,136,105,125,189.321792,5.771463,18.640887,61.723393
Brussels sprouts,184,164,193,211.68916,5.770316,17.60104,68.480072
Bell peppers,142,112,166,182.942542,6.152479,22.560329,61.013769
Cauliflower,176,131,160,200.072102,5.575234,18.42194,62.237123
Lettuce,172,116,176,214.302962,6.98462,18.895555,64.787854
Cabbage,219,153,211,184.215108,7.081534,16.294258,77.886366
Beans,148,125,148,210.636195,7.037744,21.109575,62.694885
Spinach,148,134,168,202.12932,6.706948,16.81902,60.421754
Brussels sprouts,198,151,184,218.503218,5.588246,17.514047,62.600883
Kale,156,113,145,205.163009,6.651847,16.114309,66.730144
Spinach,148,133,174,205.329773,6.533348,15.54573,61.616985
Kale,152,109,131,211.187055,5.736666,17.604145,68.302286
Carrots,136,104,102,176.942206,6.085502,15.280705,79.65387
Zucchini,163,149,158,238.178158,6.834593,22.094139,60.150331
Bok choy,168,125,150,170.545716,6.842371,19.147919,60.374929
Peas,148,117,139,191.681584,6.003286,15.901895,64.821542
Broccoli,199,121,188,204.10337,6.006317,21.907464,63.343482
Cauliflower,172,139,169,206.975606,6.760238,19.352878,64.910293
Radishes,123,82,114,155.073317,5.534062,22.081718,65.015717
Peas,133,104,131,195.15539,6.626735,17.214667,69.02648
Spinach,153,125,177,204.937644,6.452501,17.560968,60.834682
Celery,130,105,134,169.044786,6.327991,16.968147,78.849812
Carrots,125,100,100,178.775617,6.610568,18.606882,74.556286
Chinese cabbage,180,139,179,196.465612,5.829976,23.562745,61.314242
Celery,120,110,132,169.017516,6.942024,16.036509,78.365277
Cabbage,202,164,203,183.350611,6.114421,15.238731,70.465982
Tomatoes,161,147,196,220.140868,5.647012,24.020688,61.762753
Peas,133,116,120,186.548108,5.71663,16.902014,66.476824
Beans,149,129,134,208.295148,6.563962,23.639447,60.302174
Mustard greens,148,108,125,181.199221,6.109984,23.601767,69.903808
Bell peppers,145,100,168,188.659417,6.11811,20.604127,65.101531
Lettuce,155,120,176,206.039771,5.873601,18.121268,67.256328
Peas,149,103,135,182.511497,5.510762,18.182174,63.331753
Spinach,153,122,168,209.218649,5.979207,15.734837,65.860355
Tomatoes,160,151,186,229.126097,6.982791,24.072469,63.733807
Chinese cabbage,173,144,166,193.838968,5.698685,19.646269,69.427657
Cucumbers,168,124,144,208.152047,6.960928,22.542968,69.027767
Brussels sprouts,185,168,189,226.979032,5.609844,16.387628,65.157843
Cauliflower,173,132,179,200.875483,5.64693,21.577466,67.597289
Cabbage,214,159,200,198.411332,6.996433,16.223683,77.897731
Cucumbers,158,130,144,212.069563,6.058193,23.260899,61.190903
Cabbage,214,159,211,189.628953,7.014155,17.084018,70.919994
Beans,144,129,139,201.975263,7.037331,19.18395,61.819211
Zucchini,173,135,154,239.83384,6.820283,20.5833,62.887303
Beans,154,117,134,202.803696,7.478633,23.313679,61.206509
Cabbage,209,150,203,187.003726,6.315982,16.336283,77.255468
Peas,130,108,121,195.668674,6.872536,19.926552,69.338756
Celery,140,108,135,162.439976,6.505525,18.60608,74.873773
Eggplant,153,111,131,218.899407,7.138571,24.01598,61.282636
Brussels sprouts,200,151,192,222.565487,5.670606,16.250126,62.338152
Tomatoes,167,150,180,233.968986,6.93081,25.639978,65.375175
Cucumbers,157,136,149,212.926154,5.842219,24.827706,63.375324
Celery,137,101,142,178.450646,6.958556,17.834863,75.955073
Radishes,119,88,118,162.594105,6.670194,20.45059,69.63959
Celery,127,114,147,174.168669,7.306698,15.391168,76.988603
Peas,134,108,135,183.9085,6.896945,17.225436,60.970717
Bok choy,154,122,140,189.519916,6.019004,20.750142,63.390167
Chinese cabbage,179,147,178,198.691007,5.609034,21.239509,63.341212
Kale,140,113,146,205.652388,6.583728,15.700866,60.371095
Cauliflower,190,130,177,206.991162,6.70106,18.123611,68.876705
Spinach,157,128,178,207.937637,6.798952,19.303924,66.269667
Beans,154,129,131,210.525829,6.631389,19.472361,60.237663
Cauliflower,171,149,176,200.770397,6.472168,19.617573,69.784686
Brussels sprouts,190,151,187,215.465685,6.203653,16.169393,62.211039
Spinach,145,134,166,205.17527,5.912274,19.659101,62.58742
Spinach,142,132,171,207.440828,6.266608,19.147737,60.092079
Beans,154,118,143,208.49491,7.297678,19.564621,69.22181
Zucchini,178,148,161,237.770244,6.399265,25.602462,63.749386
Broccoli,190,127,196,219.596103,6.587177,22.260458,60.219861
Eggplant,156,123,130,203.479235,6.109302,23.730679,65.582583
Kale,147,116,138,218.717006,6.646335,15.57363,66.068286
Broccoli,181,137,195,205.703471,6.376004,20.26732,63.472646
Tomatoes,165,141,200,239.825752,5.637195,24.785667,60.862222
Bell peppers,144,114,154,186.661768,6.400667,25.117277,62.354981
Kale,140,108,135,209.734817,6.075194,19.771399,65.64305
Beans,151,123,150,210.363027,7.383434,23.663283,67.524442
Carrots,135,90,117,184.346566,6.139441,16.784468,75.253386
Bell peppers,131,117,162,183.114587,6.744157,25.145241,60.086613
Cauliflower,178,136,171,205.009826,6.161818,18.529381,66.787192
Zucchini,178,134,161,233.602317,6.236029,25.268836,68.07817
Peas,131,103,137,181.94147,5.721846,16.439747,65.517802
Peas,141,110,137,194.075867,5.579441,18.026421,61.671805
Eggplant,150,126,147,201.452644,7.325804,24.416646,65.271847
Cabbage,200,164,200,195.940019,7.33565,18.688234,72.516119
Cauliflower,176,130,164,194.10579,5.786127,19.297851,69.674854
Bok choy,153,127,144,187.51789,6.313806,19.362689,64.886479
Zucchini,168,148,154,230.915301,6.919673,21.533547,69.525342
Eggplant,155,122,138,201.935481,6.24657,23.765206,63.606589
Mustard greens,148,97,129,187.964992,6.355132,18.292227,63.962638
Bell peppers,149,107,157,180.647459,5.827133,24.58545,61.078071
Spinach,147,131,180,200.036038,5.782312,15.656935,61.894747
Broccoli,182,127,183,203.858519,5.875094,18.059573,65.106036
Mustard greens,135,109,133,186.217279,5.89392,22.632004,67.500044
Brussels sprouts,182,170,197,223.810117,6.96676,16.056836,69.149314
Lettuce,158,109,150,216.140751,6.324415,20.204596,61.278199
Beans,159,110,135,209.239905,6.208999,23.912897,63.861697
Spinach,143,129,169,197.376462,6.066248,16.454204,60.213429
Broccoli,196,125,197,214.820918,6.793352,23.509463,67.996465
Eggplant,141,124,137,211.513731,6.058915,22.604916,63.138978
Broccoli,180,128,195,219.189738,6.613904,23.66063,69.386589
Cabbage,208,153,218,191.256066,6.905856,18.494365,72.58248
Bok choy,155,138,157,188.989627,6.905778,22.833935,63.601765
Peas,134,100,135,185.444353,5.959191,18.584723,63.226539
Mustard greens,132,106,131,197.633401,5.768505,22.029957,61.887135
Kale,145,107,131,215.399093,6.061884,18.66527,63.858887
Zucchini,177,131,166,233.95887,5.552696,22.896991,69.206491
Broccoli,181,120,186,205.352051,6.161994,20.525408,66.863122
Mustard greens,138,106,127,199.951486,6.90423,21.275448,60.000032
Bell peppers,136,103,164,185.206502,6.055994,25.782922,60.778661
Zucchini,164,148,156,225.70628,6.903725,21.285502,62.725293
Radishes,116,94,119,155.727648,5.746313,20.716673,69.512853
Chinese cabbage,190,137,178,203.758726,5.773012,18.408408,69.608422
Carrots,126,104,101,181.941381,6.211578,19.01642,74.355158
Kale,143,114,136,219.386893,6.873839,18.030086,66.80289
Lettuce,154,103,179,216.75624,5.794376,23.973479,66.216922
Celery,135,107,147,179.626598,7.247795,16.163778,73.016707
Cucumbers,152,125,150,218.636608,6.262943,25.687783,66.866022
Chinese cabbage,175,136,180,198.638321,5.857873,19.09398,60.775229
Eggplant,141,125,149,215.776299,6.078699,25.609146,63.725943
Spinach,159,122,160,197.24984,6.115038,17.743124,63.87319
Cucumbers,166,121,150,214.048481,6.266604,23.043963,66.612012
Peas,138,118,125,182.975339,5.740389,19.38841,63.883206
Spinach,144,123,171,204.155598,5.801697,18.083714,62.298683
Zucchini,173,131,154,239.645885,6.181217,21.628706,60.975333
Eggplant,144,126,140,218.318248,7.248441,24.807755,64.160079
Mustard greens,145,103,125,199.238901,6.944815,22.619597,63.430053
Lettuce,178,112,165,216.278013,5.562752,18.990283,61.342204
Cabbage,218,163,207,181.765735,7.459566,19.845024,73.965134
Kale,157,112,143,208.892361,6.412226,19.536485,65.707601
Cauliflower,171,138,160,198.763702,6.629223,19.422763,64.655626
Spinach,159,132,164,208.143485,5.638609,18.426164,69.375279
Mustard greens,140,100,136,199.217416,6.519769,21.246278,67.724916
Kale,160,103,139,203.827849,6.294801,16.456288,61.850168
Carrots,135,101,114,176.752025,6.679711,19.623617,73.813466
Bok choy,165,125,156,188.035131,6.319048,22.30069,69.301257
Carrots,122,103,105,187.356732,6.05939,16.107515,78.282535
Bok choy,165,120,143,171.034692,6.267481,20.894714,69.20169
Broccoli,192,136,200,219.520291,5.687464,19.293776,67.637099
Broccoli,198,132,188,206.701159,6.350264,18.653384,67.251095
Kale,155,113,133,205.2883,5.784887,17.57236,69.299771
Mustard greens,135,101,131,194.759248,6.511982,20.47978,66.873683
Spinach,143,137,178,194.273539,6.812019,19.315054,68.125735
Cauliflower,189,131,167,203.486419,6.367204,19.182973,66.605112
Beans,159,113,132,202.541575,6.758845,19.6374,68.068806
Bell peppers,132,107,160,189.748187,6.198726,23.360554,69.833094
Radishes,110,81,105,154.571185,6.105721,19.476752,62.585199
Bok choy,153,120,145,173.508404,6.357404,19.294695,67.580249
Cucumbers,150,124,149,200.503433,5.53532,20.878585,65.262166
Radishes,113,82,111,153.615583,6.379319,21.54456,68.390322
Spinach,149,127,164,203.3282,6.475848,19.973822,67.803583
Carrots,123,99,112,184.869688,6.540626,17.909664,75.740051
Cabbage,200,151,209,195.87532,7.093834,15.959154,77.6617
Tomatoes,171,152,190,220.291633,6.483383,23.392579,61.615517
Zucchini,169,139,160,238.247088,6.098439,22.003879,64.656744
Carrots,121,96,109,172.707446,6.187272,19.152487,73.153231
Bell peppers,135,119,151,199.673239,6.920356,20.666884,63.841013
Bok choy,160,128,148,187.635965,5.905416,18.952411,63.155002
Broccoli,189,131,186,218.648917,6.200834,20.980001,66.596361
Cauliflower,175,144,164,196.188695,5.739884,23.502039,69.879351
Bell peppers,141,101,157,189.875895,6.211738,21.672664,67.225422
Mustard greens,140,106,128,190.148805,6.934011,18.397049,68.040829
Chinese cabbage,185,137,168,200.215009,6.185266,20.329668,60.401855
Zucchini,171,143,154,221.873339,6.03369,25.609143,62.192722
Cabbage,207,169,206,190.300369,6.000028,18.071822,71.38758
Cucumbers,152,125,156,202.181007,5.523756,25.023195,61.698496
Cauliflower,174,136,166,197.3527,5.800043,18.78292,69.806654
Bell peppers,138,110,154,196.783785,6.896476,22.309401,61.308753
Celery,132,115,136,177.930576,6.810435,15.667359,75.063502
Eggplant,147,126,131,208.756866,6.187067,22.767773,63.164513
Spinach,141,121,180,208.909107,5.83503,16.729291,63.592641
Broccoli,200,124,200,203.604807,5.878105,20.344285,69.065965
Cauliflower,184,145,165,206.389971,6.73762,22.386723,68.668078
Spinach,145,122,178,197.896878,6.130877,17.972377,66.386187
Peas,144,114,131,187.580787,6.587844,19.393886,61.455753
Kale,157,119,149,207.041696,6.563892,16.523268,61.840406
Tomatoes,174,153,187,231.098625,5.788564,23.143844,69.844611
Cauliflower,183,150,173,200.047406,6.572607,20.112256,60.228594
Chinese cabbage,186,146,160,199.393674,6.376665,21.882908,60.703066
Lettuce,161,112,176,211.171524,6.036791,23.763373,62.289885
Bok choy,161,130,155,170.801968,6.205912,18.498916,64.574406
Cabbage,205,150,211,180.454554,6.843106,19.290506,75.439312
Spinach,157,138,171,196.737618,6.318417,19.754033,63.56822
Celery,137,113,143,163.752457,7.026041,18.372319,75.294585
Cauliflower,182,146,170,204.909273,5.543958,19.003013,62.262193
Chinese cabbage,177,132,168,195.065235,6.475978,22.031531,64.708565
Brussels sprouts,180,159,182,220.626522,6.514975,18.343804,63.561859
Celery,127,116,135,160.047621,6.596452,18.050351,74.785024
Cucumbers,161,124,149,217.890508,5.591726,24.823367,66.520181
Celery,126,106,134,172.299548,6.946918,16.559077,76.244746
Eggplant,154,119,130,205.696099,6.211561,22.16372,63.306073
Lettuce,179,102,164,218.37825,6.739575,23.352065,67.323975
Peas,134,106,129,184.715177,5.560275,17.017436,68.324519
Cucumbers,170,122,159,201.998252,6.193458,23.718834,63.206759
Broccoli,192,130,186,211.30198,5.814778,19.677906,61.957429
Bok choy,153,140,149,176.83305,6.449808,20.037873,67.501273
Bell peppers,130,113,150,194.565957,6.532776,21.390404,67.215353
Bell peppers,139,118,170,190.48285,6.502929,21.407257,64.691068
Broccoli,195,129,186,210.435013,6.964157,22.577135,66.454503
Cucumbers,157,134,158,201.651607,5.812217,25.405959,62.706138
Radishes,115,81,114,159.37685,6.874644,19.279497,68.13986
Cucumbers,159,121,156,219.174481,6.840288,25.167295,66.727185
Lettuce,167,111,162,215.160022,5.985955,21.002128,69.224521
Kale,158,109,130,210.012438,6.159581,15.374789,67.495722
Chinese cabbage,176,138,164,209.193137,6.88952,20.177341,60.527981
Broccoli,196,131,188,203.734666,6.966665,19.742978,65.853021
Bok choy,159,126,147,181.180765,5.543445,23.711775,68.155014
Tomatoes,171,149,198,225.070332,5.822307,24.155241,65.321644
Broccoli,194,126,190,211.078549,6.372419,23.585929,66.838831
Cucumbers,159,134,152,217.962629,6.046702,22.06273,69.391708
Brussels sprouts,191,164,195,220.227618,5.896286,18.381312,62.577535
Broccoli,192,140,182,218.849399,6.334737,19.302485,60.466178
Eggplant,159,121,136,209.928463,7.000237,25.017338,69.271309
Cabbage,202,156,218,187.279135,7.005659,19.962614,72.357443
Cauliflower,182,141,162,194.144062,6.895195,22.938692,60.769232
Zucchini,162,138,162,235.236875,5.627902,25.502328,62.407097
Cucumbers,168,130,150,213.904717,6.845375,21.428822,66.908568
Brussels sprouts,194,154,182,210.237511,6.398214,19.072686,63.155463
Mustard greens,145,92,123,195.224979,6.768591,19.609559,65.605887
Mustard greens,146,95,136,185.831302,6.81835,23.945699,61.201025
Chinese cabbage,183,149,179,205.082999,6.389693,23.728683,69.09788
Cabbage,213,165,219,198.162227,7.155477,16.195607,76.150728
Brussels sprouts,196,156,192,229.315008,5.581654,18.89951,60.065249
Spinach,140,140,175,206.816892,5.608829,16.480518,68.400734
Bell peppers,135,119,168,198.848715,5.681136,22.73672,64.507468
Brussels sprouts,184,158,182,220.853297,6.500772,19.616189,63.911666
Cabbage,212,170,212,188.306876,6.682183,17.112082,77.622317
Carrots,139,101,115,185.868356,6.077267,19.122696,71.926864
Bok choy,158,120,155,176.971957,6.463199,18.693236,65.17828
Tomatoes,166,145,197,227.052685,5.762486,25.624903,60.886177
Carrots,132,98,103,186.755146,6.121566,18.815078,75.997784
Carrots,122,102,113,179.961378,6.143546,18.629502,79.666501
Broccoli,191,130,183,218.399862,6.504248,19.182459,69.338092
Cabbage,220,163,203,194.849933,7.118974,16.466358,73.832866
Mustard greens,130,100,121,183.041514,6.772551,19.8311,60.125066
Radishes,126,91,100,160.674848,6.970334,20.537753,60.623821
Radishes,129,85,113,169.111389,6.464218,22.746424,60.608259
Cabbage,204,153,216,181.15316,6.275286,19.319737,77.236365
Cabbage,208,170,208,191.258516,6.688276,18.238193,71.167275
Carrots,138,99,117,185.915399,6.482921,17.243136,75.70875
Brussels sprouts,180,153,188,226.52145,6.074891,15.340447,62.712974
Carrots,129,103,113,185.782441,7.049717,16.215738,71.934921
Zucchini,170,130,155,226.853001,5.841966,22.113664,65.455439
Peas,147,101,134,188.864124,6.092872,16.002054,69.137284
Cauliflower,172,138,163,192.511573,6.768412,21.209281,68.920935
Radishes,115,96,113,164.728039,6.004551,18.380234,66.475365
Cucumbers,150,139,147,205.718674,5.566681,24.841273,62.813537
Bell peppers,141,104,169,180.893545,5.996544,22.762295,60.879623
Zucchini,180,130,160,234.848093,5.501334,22.396607,68.849865
Peas,132,117,134,193.801801,6.490579,15.130068,66.266343
Tomatoes,161,146,188,225.007382,6.363997,22.292837,64.833224
Cabbage,220,160,218,198.361805,6.997977,19.021846,79.046034
Peas,130,118,136,198.205231,6.886245,16.173367,67.131966
Radishes,118,99,119,169.487188,5.968758,20.618863,61.895198
Cabbage,207,167,202,185.955858,6.966751,18.645475,78.940728
Lettuce,166,110,159,207.370129,6.09589,23.630817,60.332568
Cucumbers,151,139,145,203.44337,5.617727,25.141621,61.082699
Cauliflower,187,145,172,202.943009,5.751936,18.814902,67.182615
Beans,147,117,140,201.716848,6.672125,21.67912,63.599055
Zucchini,169,145,164,229.804868,6.77338,23.430263,66.911681
Kale,154,109,148,212.569173,6.22654,19.186585,60.794884
Cauliflower,182,131,169,202.967388,6.24573,20.860402,69.543526
Cauliflower,182,150,173,201.861839,6.868095,21.271262,64.11816
Broccoli,195,127,180,206.235357,6.035724,21.210334,68.494243
Peas,148,112,136,186.879422,6.909354,17.175155,61.57332
Bell peppers,135,103,166,191.528967,6.835638,22.593911,64.354219
Mustard greens,134,101,124,191.537979,6.65057,19.781106,65.492686
Brussels sprouts,186,170,188,221.482325,6.666312,19.224174,62.751048
Celery,130,114,141,169.589528,6.559848,16.094233,74.917375
Brussels sprouts,194,161,199,210.726511,6.116199,17.859656,65.431866
Cucumbers,152,122,160,217.373167,5.593992,25.252767,68.205131
Bok choy,157,124,155,178.378237,5.69397,22.538595,66.604231
