Crop,Nitrogen (N),Phosphorus (P),Potassium (K),Rainfall,pH,Temperature,Humidity
Beetroot,118,43,95,720.856348,5.587369,25.400684,72.224067
Beetroot,119,42,94,633.923741,5.602912,23.798548,70.370052
Beetroot,110,45,99,753.820823,5.346666,21.406106,73.957309
Beetroot,112,50,96,785.595347,5.40846,26.547413,87.76012
Beetroot,120,44,100,713.506926,5.532473,22.857778,80.266908
Beetroot,116,49,91,686.129529,5.499357,27.997314,84.816799
Beetroot,115,40,96,772.229717,5.669537,18.263831,88.948883
Beetroot,116,46,90,649.141519,5.690982,19.127994,82.918123
Beetroot,113,46,93,750.647144,5.688252,22.804545,74.710867
Beetroot,117,46,90,774.8371,5.445515,29.017894,75.216354
Beetroot,115,47,98,712.492479,5.370503,21.253122,85.185317
Beetroot,118,44,93,615.431923,5.382074,28.100014,87.671035
Beetroot,118,40,90,793.180029,5.300858,21.832198,73.508162
Beetroot,119,40,95,701.560994,5.612382,29.940739,71.290178
Beetroot,120,40,93,645.932466,5.476852,23.175953,89.487583
Beetroot,115,44,93,693.094926,5.4665,21.729559,81.10021
Beetroot,114,45,94,694.263528,5.38164,24.640559,79.073888
Beetroot,113,42,91,630.109415,5.315378,18.073696,82.769358
Beetroot,110,49,99,669.390709,5.538848,29.385281,77.961027
Beetroot,116,48,94,675.90559,5.461618,24.194191,82.710883
Beetroot,118,47,90,612.640246,5.319841,26.409533,78.880959
Beetroot,112,49,98,736.757551,5.520444,23.060831,78.57673
Beetroot,112,49,100,667.972383,5.569818,28.611563,81.736011
Beetroot,111,45,99,633.987951,5.540114,24.321116,78.186593
Beetroot,114,43,93,600.251319,5.527157,28.906183,71.761614
Beetroot,111,43,95,787.734022,5.361413,22.641793,71.610099
Beetroot,114,43,90,754.09253,5.329865,27.197435,73.081655
Beetroot,111,47,96,622.829969,5.533067,21.025409,85.740074
Beetroot,118,43,94,658.887504,5.311343,25.159928,79.822175
Beetroot,114,41,99,728.992764,5.411248,22.955645,70.95996
Beetroot,120,44,94,743.432901,5.583221,21.926251,77.552385
Beetroot,120,48,98,731.721133,5.648994,28.520556,72.454072
Beetroot,115,44,91,772.901889,5.681472,26.121094,76.259774
Beetroot,113,40,90,635.073713,5.443969,19.289443,71.731361
Beetroot,111,43,93,610.19236,5.575836,26.462902,73.465917
Beetroot,120,44,92,704.078046,5.304624,19.276652,72.016249
Beetroot,115,42,100,707.677215,5.323841,26.016607,71.626327
Beetroot,116,50,92,611.503289,5.489065,29.516547,86.753502
Beetroot,116,44,95,604.499388,5.533016,26.993176,81.888484
Beetroot,116,44,95,690.14609,5.60422,18.772053,87.098071
Beetroot,118,49,100,752.181483,5.693654,23.983161,71.356811
Beetroot,113,45,95,790.971712,5.371516,23.027467,77.469039
Beetroot,115,46,98,604.475995,5.391766,18.174642,72.796314
Beetroot,113,45,92,785.694224,5.65133,23.60765,79.981357
Beetroot,118,40,100,605.893926,5.34994,23.37761,71.245075
Beetroot,119,50,94,784.683643,5.423219,24.480375,82.528774
Beetroot,116,45,93,645.957729,5.675285,24.25244,75.192429
Beetroot,120,41,93,776.273293,5.441113,26.58416,74.411377
Beetroot,114,44,94,617.998976,5.427257,28.359359,72.990701
Beetroot,116,50,96,602.730358,5.546501,28.942714,75.412561
Beetroot,110,41,100,623.783746,5.422672,24.36962,72.978639
Beetroot,118,41,100,734.395305,5.576873,18.923071,70.792364
Beetroot,114,43,90,608.23671,5.400569,18.393096,80.320969
Beetroot,116,50,90,681.803727,5.666035,25.876506,75.969617
Beetroot,119,40,90,631.791724,5.430898,28.980497,85.20136
Beetroot,117,47,95,642.322194,5.398685,18.700315,77.2986
Beetroot,114,46,96,669.723988,5.533799,28.995328,86.456896
Beetroot,110,48,96,675.945986,5.556397,23.244223,75.915165
Beetroot,117,44,100,705.436155,5.626725,27.987881,75.488327
Beetroot,115,44,97,744.953156,5.461138,21.807544,75.038874
Beetroot,111,45,93,768.901395,5.454445,29.156936,77.032602
Beetroot,112,41,98,789.84123,5.561253,29.934361,88.521348
Beetroot,115,45,93,756.266422,5.475875,21.015742,86.739004
Beetroot,113,41,95,712.689358,5.502759,21.422167,74.005138
Beetroot,115,45,96,785.996651,5.38232,22.949218,77.728211
Beetroot,112,47,94,787.047429,5.516526,20.241512,70.7838
Beetroot,114,49,94,769.016339,5.417232,18.905604,87.476352
Beetroot,113,45,97,773.255898,5.585641,26.281554,77.035468
Beetroot,115,43,99,758.936064,5.37788,22.349274,87.779523
Beetroot,117,42,99,620.547014,5.320934,26.084915,72.732491
Beetroot,119,48,92,621.897996,5.497023,18.261171,80.912735
Beetroot,117,48,90,768.860785,5.683631,27.558899,70.261176
Beetroot,113,50,94,736.612744,5.487949,24.610996,81.079378
Beetroot,111,49,100,715.438907,5.677562,23.041337,83.71164
Beetroot,119,43,93,791.675099,5.301867,21.781428,72.286994
Beetroot,113,46,90,718.290443,5.359739,26.900858,86.169296
Beetroot,114,45,90,632.147693,5.341487,22.170369,77.05996
Beetroot,120,48,95,651.171212,5.518486,20.209919,76.269697
Beetroot,114,42,98,608.280069,5.462126,22.152968,82.643677
Beetroot,116,42,96,761.643885,5.548406,21.337871,80.047862
Beetroot,110,40,96,694.142328,5.333141,28.713884,79.419675
Beetroot,120,43,99,647.249763,5.654369,28.786156,88.440407
Beetroot,111,47,91,689.182864,5.699917,20.027216,80.53815
Beetroot,111,49,90,620.021745,5.427592,29.164308,87.626136
Beetroot,114,42,95,734.832432,5.421863,25.804327,83.980182
Beetroot,113,49,99,672.020308,5.688305,28.23448,74.570749
Beetroot,114,46,96,775.151212,5.394762,25.707541,80.938391
Beetroot,118,46,95,674.773031,5.312112,19.181378,74.553279
Beetroot,112,49,90,799.710103,5.446065,20.478506,88.653512
Beetroot,119,47,96,708.426219,5.315333,18.653304,84.757924
Beetroot,114,48,90,708.296061,5.592666,23.426055,89.962687
Beetroot,111,49,100,797.469089,5.620467,26.430534,81.282216
Beetroot,118,41,91,614.251786,5.353693,25.47265,80.881528
Beetroot,114,49,100,603.470213,5.665762,18.745561,88.926124
Beetroot,115,46,97,704.306135,5.531875,28.951261,75.821221
Beetroot,113,49,92,642.050769,5.384505,23.546842,76.492876
Beetroot,114,49,100,789.587018,5.326225,19.374612,80.520619
Beetroot,117,42,93,696.330382,5.382446,20.744011,78.435676
Beetroot,118,50,98,713.494305,5.596886,22.371225,73.346616
Beetroot,113,48,92,607.637725,5.565962,18.438844,82.846789
Beetroot,116,41,95,733.329785,5.358945,28.301086,73.46499
Beetroot,120,40,95,651.38965,5.545233,29.682282,74.462228
Beetroot,111,45,93,685.706004,5.465313,22.38847,76.882403
Beetroot,112,49,93,675.530905,5.675033,26.188849,72.560339
Beetroot,113,41,90,694.582721,5.60922,28.221033,85.444065
Beetroot,119,41,94,780.816245,5.465075,24.818435,70.484607
Beetroot,110,50,90,698.054406,5.385944,18.102677,84.741753
Beetroot,116,44,95,642.548995,5.469789,25.625712,81.398156
Beetroot,116,44,99,658.936442,5.655731,18.592361,76.981332
Beetroot,114,48,94,688.587171,5.432534,25.058578,71.846467
Beetroot,114,50,95,783.056983,5.400236,18.541192,79.720409
Beetroot,120,45,91,742.682342,5.50932,25.863753,71.927278
Beetroot,116,44,91,664.640896,5.53239,28.43637,76.523773
Beetroot,112,44,100,761.677992,5.626591,29.150323,82.615964
Beetroot,119,49,93,696.924328,5.662131,26.024102,77.268368
Beetroot,119,43,91,623.995769,5.656785,24.775849,80.881864
Beetroot,110,48,90,758.468136,5.552479,20.372389,86.888624
Beetroot,113,45,93,624.147524,5.390679,22.600662,79.773302
Beetroot,117,47,99,631.3785,5.544179,27.138415,83.883403
Beetroot,114,47,99,780.312302,5.551873,27.545918,81.710605
Beetroot,113,45,90,674.850875,5.671695,27.625143,84.448763
Beetroot,119,41,99,606.801471,5.427555,25.843941,73.238084
Beetroot,119,49,97,752.338424,5.485105,24.182683,75.572568
Beetroot,112,46,99,772.063629,5.508712,25.386389,78.450386
Beetroot,115,43,94,728.717821,5.597768,20.491929,89.410255
Beetroot,111,47,92,606.545085,5.586267,29.490064,74.566127
Beetroot,114,45,95,792.374022,5.347445,27.015949,82.418837
Beetroot,111,46,96,605.89737,5.606097,23.433076,72.665691
Beetroot,110,43,93,649.020165,5.603266,24.613023,88.877683
Beetroot,119,47,96,606.284998,5.417275,21.719414,71.686541
Beetroot,119,41,100,688.138994,5.488532,21.575985,82.725509
Beetroot,114,46,94,699.570378,5.451822,29.952682,81.050916
Beetroot,113,44,92,753.301151,5.323964,29.856084,83.301986
Beetroot,117,41,99,703.668072,5.321108,20.420614,77.254637
Beetroot,118,48,95,686.844197,5.662298,26.644649,78.826929
Beetroot,120,50,94,792.48422,5.418754,22.665092,88.653305
Beetroot,119,40,94,700.166685,5.377265,22.7096,83.089643
Beetroot,112,46,91,787.303533,5.508608,26.036438,75.931414
Beetroot,113,42,98,601.802695,5.45005,24.42253,83.969877
Beetroot,111,45,90,670.058209,5.519576,23.61986,88.245803
Beetroot,115,47,92,799.114661,5.578245,26.807867,86.55438
Beetroot,119,48,95,754.50814,5.609817,22.225988,70.461733
Beetroot,118,43,100,603.660143,5.671708,29.346627,73.134896
Beetroot,110,43,91,774.804438,5.45337,23.30138,70.795184
Beetroot,119,42,91,710.034722,5.42936,20.02615,75.554468
Beetroot,116,44,99,703.141338,5.30511,22.945355,87.026693
Beetroot,111,44,91,792.069455,5.642335,18.983012,76.396738
Beetroot,111,44,90,652.790396,5.544276,19.321902,71.906488
Beetroot,117,41,90,646.413748,5.680791,25.171337,78.982743
Beetroot,115,48,97,763.882296,5.544463,29.303507,76.328599
Beetroot,112,43,96,772.349199,5.602916,23.514493,73.026099
Beetroot,120,40,92,662.854528,5.380278,23.378964,82.917575
Beetroot,113,49,100,763.088154,5.353349,29.367109,81.509761
Beetroot,115,42,98,645.639085,5.676638,22.394121,81.609389
Beetroot,119,41,99,770.296819,5.64762,25.948099,77.068021
Beetroot,115,46,99,726.523012,5.487998,24.631141,70.443393
Beetroot,113,48,98,651.566404,5.343983,21.614041,82.887303
Beetroot,120,44,93,704.18946,5.403618,25.672355,71.982391
Beetroot,113,41,93,721.698887,5.558793,28.035915,70.552542
Beetroot,111,40,99,700.263322,5.640448,18.285859,88.749116
Beetroot,116,42,95,799.409516,5.439301,24.710647,79.343937
Beetroot,113,44,97,772.191213,5.378195,19.559411,70.394024
Beetroot,116,50,94,664.205455,5.457956,21.889702,74.49877
Beetroot,114,41,90,647.927496,5.358976,22.461129,83.068321
Beetroot,112,45,91,695.863248,5.683549,21.867231,84.395603
Beetroot,120,50,91,623.856491,5.580906,29.65661,87.585146
Beetroot,110,47,91,784.144174,5.537912,24.636489,78.811328
Bitter gourd,53,11,16,827.468028,6.686252,27.372186,67.744417
Bitter gourd,55,7,11,1138.38065,6.629403,26.896356,60.681002
Bitter gourd,56,15,20,851.948808,6.616996,28.588823,79.928428
Bitter gourd,60,10,14,1139.485184,6.608015,24.725016,67.045967
Bitter gourd,50,10,14,809.650753,6.563314,24.494454,67.648507
Bitter gourd,55,5,17,1126.684052,6.334271,27.469437,75.330819
Bitter gourd,56,10,11,864.086115,6.642899,29.531699,73.63701
Bitter gourd,57,9,19,1072.89017,6.609611,25.768872,77.292135
Bitter gourd,50,8,13,1067.65074,6.728024,28.857882,66.999881
Bitter gourd,50,14,18,892.410395,6.508466,25.01026,77.857279
Bitter gourd,58,5,19,1194.688091,6.613564,26.317358,68.201585
Bitter gourd,55,8,14,871.914807,6.520269,25.617324,76.922816
Bitter gourd,59,10,11,1117.675053,6.698739,25.499689,63.922769
Bitter gourd,58,6,16,1102.171929,6.438344,27.477066,63.343911
Bitter gourd,50,5,16,975.056775,6.638635,28.916801,60.092141
Bitter gourd,52,10,14,1197.402039,6.303361,28.7141,64.670593
Bitter gourd,56,5,13,850.455135,6.718398,29.262863,66.849032
Bitter gourd,57,12,11,971.210353,6.774689,25.518103,79.57922
Bitter gourd,59,7,10,874.492158,6.784424,28.299433,60.146084
Bitter gourd,50,9,10,1105.471728,6.431719,24.431193,61.181095
Bitter gourd,53,13,13,1101.78129,6.441822,24.912027,73.558445
Bitter gourd,59,13,13,898.792517,6.437303,25.116282,79.532084
Bitter gourd,53,9,14,827.044948,6.781464,27.747223,66.989807
Bitter gourd,59,11,13,1157.256376,6.359956,26.517192,79.577033
Bitter gourd,51,5,10,866.513884,6.317067,26.276188,67.244561
Bitter gourd,56,10,18,1028.666367,6.649804,25.95057,62.694741
Bitter gourd,57,15,15,909.223125,6.600559,28.674215,72.961603
Bitter gourd,54,11,20,1107.804345,6.780721,24.287041,78.132325
Bitter gourd,53,8,15,853.360782,6.765751,29.944312,65.733012
Bitter gourd,58,10,13,1199.435823,6.633952,28.556441,62.413402
Bitter gourd,50,12,16,1086.067471,6.636775,26.511327,76.200904
Bitter gourd,59,15,15,957.738456,6.664886,24.90556,63.69224
Bitter gourd,54,7,16,873.096287,6.523784,27.159293,77.926156
Bitter gourd,53,8,18,1153.507414,6.641861,24.201016,62.878701
Bitter gourd,56,12,19,1198.393972,6.775704,29.669564,79.776558
Bitter gourd,53,10,13,1059.7196,6.628687,27.863242,64.607376
Bitter gourd,50,12,17,951.421631,6.433306,27.484363,66.275437
Bitter gourd,57,8,10,947.44213,6.54185,26.792274,70.913879
Bitter gourd,54,7,20,1180.018375,6.721256,26.919738,77.379854
Bitter gourd,56,7,13,1063.658959,6.563096,25.634088,78.737244
Bitter gourd,56,9,13,1075.26076,6.534057,29.910307,74.96871
Bitter gourd,50,15,15,1091.40745,6.597867,26.612526,63.218
Bitter gourd,58,13,10,1195.72095,6.753017,25.657329,70.185848
Bitter gourd,56,7,14,1077.678337,6.324236,24.62303,62.117203
Bitter gourd,57,14,15,1195.274911,6.587185,27.766855,63.662216
Bitter gourd,51,8,18,1005.265225,6.58097,28.697835,79.207278
Bitter gourd,56,12,15,932.615188,6.73791,26.492222,67.122815
Bitter gourd,60,8,18,1173.181461,6.469629,24.250179,65.853899
Bitter gourd,50,5,10,1135.668943,6.477952,25.165286,61.958582
Bitter gourd,50,6,18,1186.709289,6.448028,28.848226,76.3063
Bitter gourd,50,14,17,952.295692,6.5143,27.141682,75.707645
Bitter gourd,53,15,14,969.852695,6.749265,26.529817,64.33251
Bitter gourd,60,6,12,841.606801,6.498467,25.259759,76.712474
Bitter gourd,54,12,19,858.288926,6.7698,25.119599,65.045083
Bitter gourd,54,13,20,860.964703,6.306792,26.4581,76.971477
Bitter gourd,55,9,14,936.457844,6.745265,24.36128,65.043754
Bitter gourd,57,12,20,1035.932895,6.42069,29.938243,66.392222
Bitter gourd,57,15,19,989.356358,6.634313,26.565098,72.456277
Bitter gourd,59,9,12,990.589165,6.334644,24.298855,60.582146
Bitter gourd,55,6,20,1141.920514,6.402232,24.787602,75.617181
Bitter gourd,56,12,20,1144.326806,6.513351,27.875454,75.45043
Bitter gourd,55,6,12,890.278936,6.364534,26.870336,73.699008
Bitter gourd,53,14,13,1008.276456,6.77182,24.568325,63.336153
Bitter gourd,51,15,14,1112.691955,6.391572,24.270805,77.117374
Bitter gourd,57,12,20,892.436242,6.463853,26.195229,60.420623
Bitter gourd,50,6,16,1041.664408,6.351824,29.192376,77.699216
Bitter gourd,51,10,12,1199.103983,6.490928,26.856281,72.437126
Bitter gourd,57,6,15,1069.590352,6.657089,26.656589,64.010584
Bitter gourd,52,7,18,986.239241,6.713611,29.742497,77.692313
Bitter gourd,51,11,14,1169.2884,6.431806,29.081929,60.714938
Bitter gourd,54,9,15,896.031155,6.734649,25.834044,76.824663
Bitter gourd,59,7,17,1157.488213,6.534655,25.487103,69.924192
Bitter gourd,52,14,12,954.582962,6.375032,27.034432,74.339703
Bitter gourd,53,15,16,1034.661502,6.562499,28.908581,68.794569
Bitter gourd,51,8,15,1025.718334,6.691637,26.418227,73.10228
Bitter gourd,52,12,10,856.032366,6.303043,26.322809,63.776112
Bitter gourd,56,6,13,906.903021,6.332026,27.097649,70.927306
Bitter gourd,58,7,14,969.821182,6.630087,24.004522,69.050348
Bitter gourd,56,6,17,1024.041606,6.519579,29.923641,65.043443
Bitter gourd,54,9,19,1024.279322,6.382948,29.000052,75.762214
Bitter gourd,57,9,15,1183.204617,6.343582,29.230525,75.787109
Bitter gourd,56,14,12,925.722703,6.358371,28.341273,79.954151
Bitter gourd,56,8,20,1106.833785,6.613482,27.289945,79.428996
Bitter gourd,50,12,16,1070.931445,6.386841,24.036412,69.741325
Bitter gourd,54,15,11,1197.587986,6.757233,27.940734,79.239898
Bitter gourd,56,14,13,1195.951749,6.40643,27.637955,74.895164
Bitter gourd,60,5,13,875.87382,6.791208,28.776921,72.212568
Bitter gourd,55,12,18,1037.765728,6.338217,29.699201,69.51811
Bitter gourd,55,15,16,826.89188,6.458331,28.420323,73.432762
Bitter gourd,60,6,17,1183.294113,6.400546,28.980619,79.143469
Bitter gourd,56,7,18,1091.950694,6.724556,25.427796,60.829319
Bitter gourd,51,15,20,1106.681886,6.761794,26.485758,60.978854
Bitter gourd,56,15,10,935.081253,6.313569,24.397842,63.559975
Bitter gourd,52,6,19,985.016299,6.393857,27.425853,64.305361
Bitter gourd,53,5,18,1197.838277,6.369863,28.389519,76.380735
Bitter gourd,55,14,20,1099.599149,6.539413,26.215913,61.866665
Bitter gourd,51,14,10,1192.346132,6.566687,25.045002,70.383524
Bitter gourd,52,13,12,821.30215,6.623211,26.227328,62.598595
Bitter gourd,52,9,12,1142.153566,6.53227,29.178862,71.835465
Bitter gourd,58,5,19,1137.00648,6.370806,27.908851,63.85075
Bitter gourd,50,14,11,1027.863438,6.363333,25.916112,65.312481
Bitter gourd,57,12,20,1094.213976,6.773765,27.910121,75.528579
Bitter gourd,52,15,12,958.596512,6.411849,27.625601,60.478081
Bitter gourd,55,6,18,1085.374603,6.7269,24.152377,79.916409
Bitter gourd,57,5,20,1115.043637,6.481963,28.23807,70.137065
Bitter gourd,51,14,20,802.915311,6.561005,29.59345,60.950551
Bitter gourd,55,6,15,996.053444,6.630567,29.857227,60.002242
Bitter gourd,54,5,12,803.162503,6.687372,28.343283,79.322102
Bitter gourd,57,6,10,1135.94314,6.416994,29.46965,74.797486
Bitter gourd,50,13,19,927.050794,6.365319,26.486731,66.885491
Bitter gourd,57,15,13,1079.476748,6.429353,26.644527,61.347666
Bitter gourd,58,12,10,1054.66164,6.31086,26.625702,78.196276
Bitter gourd,51,15,14,962.748827,6.55347,27.333684,79.320765
Bitter gourd,56,10,18,932.476664,6.509571,25.113984,67.832024
Bitter gourd,60,8,14,830.573467,6.494649,28.369086,79.212175
Bitter gourd,55,5,15,1074.290621,6.676555,25.267555,67.573593
Bitter gourd,60,14,11,944.115527,6.758998,25.302524,78.518601
Bitter gourd,50,12,12,1183.018154,6.455319,26.435601,69.25155
Bitter gourd,60,13,11,1015.991716,6.574532,26.502704,70.571121
Bitter gourd,50,11,16,1093.208914,6.512072,28.530955,61.132199
Bitter gourd,57,6,18,824.375465,6.52837,26.154133,68.51454
Bitter gourd,56,5,19,845.646685,6.796446,28.001285,62.623355
Bitter gourd,52,13,17,879.583158,6.4195,25.516006,78.727272
Bitter gourd,55,8,11,1103.397651,6.491325,24.996748,79.464643
Bitter gourd,60,10,15,945.05252,6.575608,28.441266,72.691571
Bitter gourd,55,9,15,821.474443,6.539063,24.311267,70.807691
Bitter gourd,54,12,16,1011.050342,6.665903,26.089639,78.180081
Bitter gourd,58,6,14,860.903722,6.725367,24.813386,79.329831
Bitter gourd,58,14,19,839.300764,6.333152,27.887521,67.969622
Bitter gourd,57,8,11,1072.493074,6.390847,28.298986,68.164143
Bitter gourd,52,14,10,925.203703,6.490714,28.815152,68.804166
Bitter gourd,54,9,13,1109.629141,6.330555,25.748286,68.951528
Bitter gourd,58,9,14,870.747337,6.556278,24.65267,66.517926
Bitter gourd,55,15,12,1079.164938,6.519781,27.725477,68.177352
Bitter gourd,52,14,11,1068.04331,6.314055,26.951518,72.660746
Bitter gourd,55,8,13,1170.185577,6.415388,24.889816,64.239255
Bitter gourd,60,14,16,1094.263862,6.657628,27.772529,72.850285
Bitter gourd,53,6,18,1027.748629,6.553593,29.474453,70.2591
Bitter gourd,54,9,12,816.775072,6.779366,24.004563,68.128456
Bitter gourd,53,6,13,842.934606,6.375627,28.759126,69.904718
Bitter gourd,53,5,10,900.146876,6.748122,29.467418,66.895453
Bitter gourd,57,14,17,882.975336,6.694366,28.944679,66.781372
Bitter gourd,50,10,10,1167.755573,6.781934,29.507864,74.878067
Bitter gourd,55,13,14,1046.277392,6.720644,29.995857,77.870656
Bitter gourd,60,15,18,956.864674,6.431107,25.869775,70.660677
Bitter gourd,54,13,10,887.846756,6.324094,26.048491,62.703578
Bitter gourd,50,12,20,961.296478,6.518567,26.159487,68.063463
Bitter gourd,55,14,13,1129.58056,6.640558,26.543342,78.256484
Bitter gourd,52,13,18,811.390362,6.546154,28.535039,60.043296
Bitter gourd,58,9,14,1199.688077,6.61037,26.624057,72.853949
Bitter gourd,56,13,13,877.496687,6.40757,26.550008,64.528303
Bitter gourd,56,9,15,851.276183,6.336663,25.486952,64.50268
Bitter gourd,60,6,15,1131.844348,6.760114,25.861194,79.609005
Bitter gourd,50,14,20,1163.802132,6.748864,27.861446,77.108648
Bitter gourd,58,14,16,867.837459,6.541266,26.047754,77.963232
Bitter gourd,55,11,11,1000.732242,6.558599,26.585761,79.693816
Bitter gourd,54,6,17,1131.043243,6.769234,26.986579,78.568126
Bitter gourd,57,13,14,818.891854,6.46648,29.056166,60.25764
Bitter gourd,55,15,16,1128.200188,6.397992,26.433853,74.679908
Bitter gourd,55,11,15,932.726889,6.438326,29.14638,63.293819
Bitter gourd,52,9,13,878.051457,6.531703,28.848065,73.460776
Bitter gourd,50,13,15,1077.273651,6.332842,25.292686,78.000589
Bitter gourd,50,14,10,964.521387,6.339823,27.240274,68.74558
Bitter gourd,54,15,11,938.232401,6.42043,28.086472,79.2124
Bitter gourd,51,14,17,855.924778,6.313034,28.237695,60.587538
Bitter gourd,51,9,17,1149.885867,6.611601,24.971033,61.151393
Bitter gourd,57,14,18,804.360242,6.790975,27.766533,72.886765
Bitter gourd,52,13,20,976.272952,6.638754,26.935127,69.510871
Bitter gourd,58,13,16,893.074287,6.438353,25.074601,77.735598
Bitter gourd,50,6,19,1066.399707,6.511782,26.432098,77.664883
Bitter gourd,58,9,18,1120.611472,6.48041,28.587945,61.52027
Bitter gourd,57,8,13,1083.825268,6.600531,29.163526,64.806486
Bitter gourd,55,8,16,958.417999,6.750056,24.724584,62.505886
Bitter gourd,50,10,13,1183.714734,6.598139,25.041933,60.304691
Bitter gourd,56,10,14,1007.064924,6.577553,28.684581,66.222863
Bitter gourd,50,9,12,955.434956,6.489226,25.764482,74.807968
Bitter gourd,53,14,11,811.481385,6.316713,29.183267,70.450594
Bitter gourd,56,15,18,854.922063,6.435962,28.311064,67.327949
Bitter gourd,57,14,17,922.147237,6.574133,29.121501,74.467112
Bitter gourd,51,8,16,1090.168104,6.797461,25.541745,63.713454
Bitter gourd,50,12,19,832.62391,6.403126,25.202988,76.486249
Bitter gourd,56,14,12,874.413333,6.396062,27.185577,63.727238
Bitter gourd,58,6,10,871.931655,6.608303,24.064125,63.300586
Bitter gourd,52,14,11,849.391108,6.31912,27.132932,61.275062
Bitter gourd,58,7,13,961.616333,6.769726,27.353032,75.467416
Bitter gourd,51,15,20,830.419184,6.774354,29.510196,73.355137
Bitter gourd,58,5,16,1185.85578,6.634098,26.720438,65.989092
Bitter gourd,50,11,10,885.604644,6.669152,28.568823,73.852124
Bitter gourd,59,10,12,889.078035,6.326042,26.781646,70.761972
Bitter gourd,53,12,20,1116.854096,6.775913,29.810935,72.155556
Bitter gourd,50,13,13,977.840963,6.61351,24.445115,71.467144
Bitter gourd,55,6,16,1033.136739,6.432226,28.314543,74.579767
Bitter gourd,59,7,10,1003.944436,6.612784,29.864711,78.559503
Bitter gourd,56,10,17,992.191884,6.300337,28.48857,62.23357
Bitter gourd,60,14,17,844.855786,6.418858,27.875182,72.824255
Bitter gourd,51,8,17,975.082923,6.612819,29.766273,63.004665
Bitter gourd,51,11,18,843.38262,6.493337,29.491663,66.558264
Bitter gourd,51,14,17,811.858989,6.617962,24.738266,66.121935
Bitter gourd,57,9,12,1068.859449,6.320816,27.81362,68.58173
Bitter gourd,53,15,11,805.331418,6.690705,29.631861,75.291566
Bottle gourd,91,50,46,639.824156,6.270842,27.578296,76.477089
Bottle gourd,94,48,47,756.252152,6.689691,33.46185,64.779724
Bottle gourd,91,46,45,695.313074,6.695478,33.159853,72.706417
Bottle gourd,97,48,43,696.201612,6.238671,31.989967,67.770206
Bottle gourd,92,45,47,752.583735,6.281725,33.839725,76.573372
Bottle gourd,91,46,45,729.916249,6.2234,28.151121,71.927556
Bottle gourd,97,40,45,664.573666,6.571145,32.796031,64.794609
Bottle gourd,93,46,41,781.791391,6.612406,26.804884,75.532338
Bottle gourd,97,43,50,601.096534,6.438053,30.926232,70.25908
Bottle gourd,98,42,43,726.415371,6.361627,25.734445,76.866546
Bottle gourd,90,48,48,784.343995,6.248555,34.012612,60.681122
Bottle gourd,90,43,49,658.116288,6.444699,33.128131,74.826266
Bottle gourd,95,43,40,732.403339,6.36619,33.469342,72.134102
Bottle gourd,96,41,41,668.904533,6.234152,30.637906,68.553079
Bottle gourd,97,42,48,606.251038,6.691495,27.328992,60.173682
Bottle gourd,94,47,50,727.157648,6.570124,25.264878,69.58677
Bottle gourd,94,50,50,719.183161,6.323477,27.419442,60.780504
